CCN,Facility Name,Address,City,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital_overall_rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote,MSPB_Ratio,Total_Performance_Score,Domain_Clinical_Score,Domain_Safety_Score,Domain_Engagement_Score,Domain_Efficiency_Score,HCAHPS_H_CLEAN_HSP_A_P,HCAHPS_H_CLEAN_HSP_SN_P,HCAHPS_H_CLEAN_HSP_U_P,HCAHPS_H_CLEAN_LINEAR_SCORE,HCAHPS_H_CLEAN_STAR_RATING,HCAHPS_H_COMP_1_A_P,HCAHPS_H_COMP_1_LINEAR_SCORE,HCAHPS_H_COMP_1_SN_P,HCAHPS_H_COMP_1_STAR_RATING,HCAHPS_H_COMP_1_U_P,HCAHPS_H_COMP_2_A_P,HCAHPS_H_COMP_2_LINEAR_SCORE,HCAHPS_H_COMP_2_SN_P,HCAHPS_H_COMP_2_STAR_RATING,HCAHPS_H_COMP_2_U_P,HCAHPS_H_COMP_5_A_P,HCAHPS_H_COMP_5_LINEAR_SCORE,HCAHPS_H_COMP_5_SN_P,HCAHPS_H_COMP_5_STAR_RATING,HCAHPS_H_COMP_5_U_P,HCAHPS_H_COMP_6_LINEAR_SCORE,HCAHPS_H_COMP_6_N_P,HCAHPS_H_COMP_6_STAR_RATING,HCAHPS_H_COMP_6_Y_P,HCAHPS_H_DISCH_HELP_N_P,HCAHPS_H_DISCH_HELP_Y_P,HCAHPS_H_DOCTOR_EXPLAIN_A_P,HCAHPS_H_DOCTOR_EXPLAIN_SN_P,HCAHPS_H_DOCTOR_EXPLAIN_U_P,HCAHPS_H_DOCTOR_LISTEN_A_P,HCAHPS_H_DOCTOR_LISTEN_SN_P,HCAHPS_H_DOCTOR_LISTEN_U_P,HCAHPS_H_DOCTOR_RESPECT_A_P,HCAHPS_H_DOCTOR_RESPECT_SN_P,HCAHPS_H_DOCTOR_RESPECT_U_P,HCAHPS_H_HSP_RATING_0_6,HCAHPS_H_HSP_RATING_7_8,HCAHPS_H_HSP_RATING_9_10,HCAHPS_H_HSP_RATING_LINEAR_SCORE,HCAHPS_H_HSP_RATING_STAR_RATING,HCAHPS_H_MED_FOR_A_P,HCAHPS_H_MED_FOR_SN_P,HCAHPS_H_MED_FOR_U_P,HCAHPS_H_NURSE_EXPLAIN_A_P,HCAHPS_H_NURSE_EXPLAIN_SN_P,HCAHPS_H_NURSE_EXPLAIN_U_P,HCAHPS_H_NURSE_LISTEN_A_P,HCAHPS_H_NURSE_LISTEN_SN_P,HCAHPS_H_NURSE_LISTEN_U_P,HCAHPS_H_NURSE_RESPECT_A_P,HCAHPS_H_NURSE_RESPECT_SN_P,HCAHPS_H_NURSE_RESPECT_U_P,HCAHPS_H_QUIET_HSP_A_P,HCAHPS_H_QUIET_HSP_SN_P,HCAHPS_H_QUIET_HSP_U_P,HCAHPS_H_QUIET_LINEAR_SCORE,HCAHPS_H_QUIET_STAR_RATING,HCAHPS_H_RECMND_DN,HCAHPS_H_RECMND_DY,HCAHPS_H_RECMND_LINEAR_SCORE,HCAHPS_H_RECMND_PY,HCAHPS_H_RECMND_STAR_RATING,HCAHPS_H_SIDE_EFFECTS_A_P,HCAHPS_H_SIDE_EFFECTS_SN_P,HCAHPS_H_SIDE_EFFECTS_U_P,HCAHPS_H_STAR_RATING,HCAHPS_H_SYMPTOMS_N_P,HCAHPS_H_SYMPTOMS_Y_P,Readmission_EDAC_30_AMI,Readmission_EDAC_30_HF,Readmission_EDAC_30_PN,Readmission_READM_30_AMI,Readmission_READM_30_CABG,Readmission_READM_30_COPD,Readmission_READM_30_HF,Readmission_READM_30_HIP_KNEE,Readmission_READM_30_PN,Payment_Adjustment_Percent,Cluster_Label
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,,8,8,0,8,0,,8,7,3,4,0,,11,11,1,9,1,,15,15,,10,10,,0.99,32.166666666667,6.000000000000,12.916666666667,10.750000000000,2.500000000000,71,11,18,,,76,,6,,18,80,,4,,16,60,,18,,22,,13,,87,17,83,75,5,20,78,4,18,88,3,9,7,20,73,,,75,8,17,71,8,21,71,7,22,86,3,11,64,6,30,,,3,77,,20,,45,28,27,,10,90,-15.6,-1.1,17.4,13,10.1,18,20.1,4.8,16,0.4153,Average Performers
010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,(256) 593-8310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,,8,6,0,5,1,,8,7,0,7,0,,11,9,1,8,0,,15,15,,10,10,,1.00,20.916666666667,1.250000000000,7.916666666667,9.250000000000,2.500000000000,66,13,21,,,77,,6,,17,82,,4,,14,55,,25,,20,,14,,86,16,84,78,5,17,79,4,17,88,4,8,10,22,68,,,69,12,19,75,7,18,72,7,21,84,4,12,67,7,26,,,8,63,,29,,40,38,22,,12,88,,12.2,-17.2,,,17.1,19.8,4.2,13.9,-1.224,Emerging Performers
010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,(256) 768-8400,Acute Care Hospitals,Proprietary,Yes,Y,2,,8,8,0,5,3,,8,8,4,4,0,,11,9,1,8,0,,15,15,,10,9,,1.01,25.833333333333,0.833333333333,21.250000000000,3.750000000000,0.000000000000,63,16,21,,,75,,6,,19,73,,9,,18,53,,28,,19,,17,,83,20,80,68,11,21,70,9,21,80,6,14,14,25,61,,,67,15,18,70,8,22,72,6,22,82,4,14,62,8,30,,,11,56,,33,,40,40,20,,14,86,-18,-4.7,-0.9,12.5,10.6,19.1,19.5,5.1,15.7,-0.5255,Average Performers
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,(334) 493-3541,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,1,,8,4,0,3,1,,8,2,0,2,0,,11,5,0,3,2,,15,5,,10,7,,1.04,,,,,,59,15,26,,,79,,5,,16,86,,3,,11,60,,20,,20,,11,,89,15,85,83,3,14,84,3,13,91,3,6,11,26,63,,,73,8,19,74,3,23,78,7,15,84,5,11,70,2,28,,,7,68,,25,,47,32,21,,7,93,,77.9,29.8,,,18.6,20.9,,16.5,,Low Value
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,(205) 838-3122,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3,29,8,8,0,8,0,29,8,7,1,6,0,29,11,8,1,5,2,29,15,10,29,10,7,29,0.96,,,,,,63,14,23,,,78,,6,,16,79,,6,,15,57,,25,,18,,15,,85,14,86,75,7,18,76,6,18,86,3,11,11,19,70,,,71,13,16,74,7,19,74,6,20,84,5,11,61,11,28,,,8,69,,23,,43,36,21,,15,85,-23.6,21.2,18.1,13.2,11.9,18.2,20.9,,16.2,,Average Performers
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,(256) 845-3150,Acute Care Hospitals,Proprietary,Yes,Y,2,,8,5,0,5,0,,8,4,0,4,0,,11,8,0,6,2,,15,15,,10,9,,0.99,30.583333333333,1.000000000000,10.833333333333,11.250000000000,7.500000000000,59,16,25,,,80,,2,,18,80,,6,,14,60,,19,,21,,14,,86,17,83,76,9,15,78,5,17,87,4,9,10,29,61,,,77,9,14,77,4,19,79,2,19,86,1,13,59,9,32,,,7,60,,33,,43,30,27,,10,90,41.1,40,2.3,14.3,,18.1,21.3,4.5,16.3,0.1681,Low Value
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,(205) 620-8100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2,,8,8,0,8,0,,8,7,1,5,1,,11,9,0,8,1,,15,15,,10,6,,1.02,22.666666666667,4.583333333333,10.833333333333,4.750000000000,2.500000000000,62,14,24,,,75,,6,,19,77,,6,,17,58,,24,,18,,17,,83,19,81,72,7,21,76,6,18,85,4,11,13,23,64,,,72,12,16,69,7,24,73,7,20,82,5,13,60,10,30,,,10,62,,28,,45,37,18,,15,85,23.3,0.3,29.5,13.9,11.5,18,19.9,5.3,16.4,-0.9596,Emerging Performers
010018,UAB CALLAHAN EYE HOSPITAL AUTHORITY,1720 UNIVERSITY BLVD STE 305,BIRMINGHAM,AL,35233,JEFFERSON,(205) 325-8596,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,16,8,,,,,5,8,1,0,1,0,,11,1,0,1,0,,15,5,,10,3,,,,,,,,73,8,19,,,85,,2,,13,84,,2,,14,85,,6,,9,,18,,82,25,75,80,3,17,83,2,15,90,1,9,3,2,95,,,92,2,6,82,4,14,80,1,19,91,1,8,85,5,10,,,2,91,,7,,78,11,11,,11,89,,,,,,,,,,,Average Performers
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,(256) 386-4556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,8,5,0,4,1,,8,7,1,6,0,,11,7,1,5,1,,15,15,,10,9,,1.10,33.333333333333,0.000000000000,17.083333333333,16.250000000000,0.000000000000,72,8,20,,,82,,4,,14,80,,7,,13,65,,17,,18,,12,,88,14,86,76,8,16,78,7,15,85,6,9,7,19,74,,,78,8,14,80,6,14,79,4,17,87,3,10,72,5,23,,,3,79,,18,,52,26,22,,9,91,,-16.1,19.8,,,18.8,17.8,5.8,16.1,0.5761,Average Performers
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,(334) 774-2601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,16,8,2,0,2,0,,8,2,0,2,0,,11,3,0,2,1,,15,5,,10,8,,0.99,,,,,,89,5,6,,,84,,1,,15,86,,0,,14,63,,15,,22,,13,,87,13,87,86,1,13,84,1,15,88,1,11,6,20,74,,,72,12,16,81,1,18,81,3,16,89,1,10,75,1,24,,,5,78,,17,,55,18,27,,14,86,,,39.7,,,,,,16,,Low Value
